adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
ascend_tutorial_01-vector-add.ttadapter,False,False,False,65536,65536,65536,8.0,8.0,8.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_02-fused-softmax.ttadapter,False,False,False,49664,49664,,6.0625,6.0625,,True,False,0,0,False,"[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | loc(""/tmp/02-fused-softmax.yevozn.py"":53:0): error: Failed to run buildFinalHIVMPipelines pipeline | loc(callsite(callsite(""input""(""/home/yuanye/AscendNPU-IR/.venv/lib/python3.9/site-packages/triton/language/standard.py"":188:33) at ""row_minus_max""(""/tmp/02-fused-softmax.yevozn.py"":69:37)) at callsite(""/home/yuanye/AscendNPU-IR/.venv/lib/python3.9/site-packages/triton/language/standard.py"":197:44 at ""row_minus_max""(""/tmp/02-fused-softmax.yevozn.py"":69:37)))): error: operand #5 does not dominate this use | [ERROR] Failed to run BiShengIR regbase pipeline"
ascend_tutorial_03-matrix-multiplication.ttadapter,False,False,False,163840,163840,163840,20.0,20.0,20.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_04-low-memory-dropout.ttadapter,False,False,False,65792,65792,65792,8.03125,8.03125,8.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_05-layer-norm.ttadapter,False,False,False,34304,34304,34304,4.1875,4.1875,4.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_06-fused-attention.ttadapter,False,False,False,699392,699392,831488,85.375,85.375,101.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_07-extern-functions.ttadapter,False,False,False,327680,327680,458752,40.0,40.0,56.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_08-grouped-gemm.ttadapter,False,False,False,393216,393216,393216,48.0,48.0,48.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_09-persistent-matmul.ttadapter,False,False,False,,,,,,,False,False,0,0,False,LLVM ERROR: unsupported op to get out operands | LLVM ERROR: unsupported op to get out operands | LLVM ERROR: unsupported op to get out operands
attn_cp_triton_kernel_3d.ttadapter,False,False,False,245760,245760,294912,30.0,30.0,36.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
attn_cp_triton_kernel_3d_la.ttadapter,False,False,False,134144,134144,135168,16.375,16.375,16.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
attn_fwd.ttadapter,False,False,False,1783040,1783040,,217.65625,217.65625,,True,True,0,0,False,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
chunk_kda_bwd_kernel_wy_dqkg_fused_opt_v2.ttadapter,False,False,False,568832,568832,,69.4375,69.4375,,True,False,0,0,False,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm__triton_rope.ttadapter,False,False,False,50688,50688,50688,6.1875,6.1875,6.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_gated_delta_rule_fwd_kernel_h_blockdim64.ttadapter,False,False,False,1709312,1840384,1709312,208.65625,224.65625,208.65625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_local_cumsum_scalar_kernel.ttadapter,False,False,False,36864,36864,36864,4.5,4.5,4.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_scaled_dot_kkt_fwd_kernel.ttadapter,False,False,False,13056,13056,13056,1.59375,1.59375,1.59375,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_expand_kernel.ttadapter,False,False,False,1536,1536,1536,0.1875,0.1875,0.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_fused_gdn_gating_kernel.ttadapter,False,False,False,2560,2560,2560,0.3125,0.3125,0.3125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_fused_qkvzba_split_reshape_cat_kernel.ttadapter,False,False,False,4608,4608,4608,0.5625,0.5625,0.5625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_l2norm_fwd_kernel2_loop.ttadapter,False,False,False,49664,49664,,6.0625,6.0625,,True,True,0,0,False,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_layer_norm_fwd_kernel.ttadapter,False,False,False,17920,17920,22016,2.1875,2.1875,2.6875,True,False,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_merge_16x16_to_32x32_inverse_kernel.ttadapter,False,False,False,40448,40448,40448,4.9375,4.9375,4.9375,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_merge_16x16_to_64x64_inverse_kernel.ttadapter,False,False,False,366592,366592,366592,44.75,44.75,44.75,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_recompute_w_u_fwd_kernel.ttadapter,False,False,False,113664,113664,113664,13.875,13.875,13.875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_rejection_greedy_sample_spec_len_1_triton.ttadapter,False,False,False,1280,1280,1280,0.15625,0.15625,0.15625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_rejection_random_sample_kernel.ttadapter,False,False,False,512,512,512,0.0625,0.0625,0.0625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_sample_recovered_tokens_kernel.ttadapter,False,False,False,2816,2816,2816,0.34375,0.34375,0.34375,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_solve_tril_16x16_kernel.ttadapter,False,False,False,42752,42752,42752,5.21875,5.21875,5.21875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
layernorm_bench.ttadapter,False,False,False,263168,263168,263168,32.125,32.125,32.125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
python_tutorial_02-fused-softmax.ttadapter,False,False,False,66048,66048,98816,8.0625,8.0625,12.0625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
python_tutorial_03-matrix-multiplication.ttadapter,False,False,False,,,,,,,False,False,0,0,False,LLVM ERROR: unsupported op to get out operands | LLVM ERROR: unsupported op to get out operands | LLVM ERROR: unsupported op to get out operands
python_tutorial_04-low-memory-dropout.ttadapter,False,False,False,65792,65792,65792,8.03125,8.03125,8.03125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
python_tutorial_05-layer-norm.ttadapter,False,False,False,1835520,1835520,1835520,224.0625,224.0625,224.0625,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
python_tutorial_06-fused-attention.ttadapter,False,False,False,577792,577792,579840,70.53125,70.53125,70.78125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
python_tutorial_08-grouped-gemm.ttadapter,False,False,False,393216,393216,393216,48.0,48.0,48.0,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
python_tutorial_09-persistent-matmul.ttadapter,False,False,False,,,,,,,False,False,0,0,False,LLVM ERROR: unsupported op to get out operands | LLVM ERROR: unsupported op to get out operands | LLVM ERROR: unsupported op to get out operands
python_tutorial_10-block-scaled-matmul.ttadapter,False,False,False,25600,25600,25600,3.125,3.125,3.125,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
rmsnorm_bench.ttadapter,False,False,False,131840,131840,131840,16.09375,16.09375,16.09375,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
s0_original_baseline_5800us.ttadapter,False,False,False,263680,263680,313088,32.1875,32.1875,38.21875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
s1_exp3_BLOCK_V_512_5392us.ttadapter,False,False,False,460032,460032,509440,56.15625,56.15625,62.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,False,False,False,525568,525568,624128,64.15625,64.15625,76.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
s4_exp10_workspace_sv_bf16_4294us.ttadapter,False,False,False,460032,460032,558592,56.15625,56.15625,68.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,False,False,False,328960,328960,427520,40.15625,40.15625,52.1875,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,False,False,False,329472,329472,428032,40.21875,40.21875,52.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
s8_exp28_hoist_Q_loads_3589us.ttadapter,False,False,False,329472,329472,428032,40.21875,40.21875,52.25,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
softmax_bench.ttadapter,False,False,False,66048,66048,,8.0625,8.0625,,True,False,0,0,False,"[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | loc(""/tmp/softmax_bench.YnGwWm.py"":18:0): error: Failed to run buildFinalHIVMPipelines pipeline | loc(callsite(callsite(""/home/yuanye/AscendNPU-IR/.venv/lib/python3.9/site-packages/triton/language/standard.py"":197:44 at ""x""(""/tmp/softmax_bench.YnGwWm.py"":23:19)) at callsite(""/home/yuanye/AscendNPU-IR/.venv/lib/python3.9/site-packages/triton/language/standard.py"":197:44 at ""x""(""/tmp/softmax_bench.YnGwWm.py"":23:19)))): error: operand #5 does not dominate this use | [ERROR] Failed to run BiShengIR regbase pipeline"
