adapter,vf_merge_level,elapsed_s,returncode,timed_out,pass_observed,pass_attempts,affected,affected_attempts,changed_diff_lines_max,vector_functions_before_max,vector_functions_after_max,before_sha256,after_sha256,ub_reported_bits,ub_bits,ub_bytes,ub_kib,ub_line_observed,diagnostic
ascend_tutorial_01-vector-add.ttadapter,0,0.06065,1,False,False,0,False,0,0,0,0,,,65536,65536,8192,8.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_01-vector-add.ttadapter,1,0.062075,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,65536,65536,8192,8.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_01-vector-add.ttadapter,2,0.061901,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,65536,65536,8192,8.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_02-fused-softmax.ttadapter,0,0.084043,1,False,False,0,False,0,0,0,0,,,49664,49664,6208,6.0625,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_02-fused-softmax.ttadapter,1,0.091038,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,49664,49664,6208,6.0625,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_02-fused-softmax.ttadapter,2,0.066618,1,False,False,0,False,0,0,0,0,,,,,,,False,"loc(""/tmp/02-fused-softmax.yevozn.py"":53:0): error: Failed to run buildFinalHIVMPipelines pipeline | loc(callsite(callsite(""input""(""/home/yuanye/AscendNPU-IR/.venv/lib/python3.9/site-packages/triton/language/standard.py"":188:33) at ""row_minus_max""(""/tmp/02-fused-softmax.yevozn.py"":69:37)) at callsite(""/home/yuanye/AscendNPU-IR/.venv/lib/python3.9/site-packages/triton/language/standard.py"":197:44 at ""row_minus_max""(""/tmp/02-fused-softmax.yevozn.py"":69:37)))): error: operand #5 does not dominate this use | [ERROR] Failed to run BiShengIR regbase pipeline"
ascend_tutorial_03-matrix-multiplication.ttadapter,0,0.079426,1,False,False,0,False,0,0,0,0,,,163840,163840,20480,20.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_03-matrix-multiplication.ttadapter,1,0.115235,1,False,True,1,False,0,0,0,0,8f9ee44e9b7697dd96aae389abb1604ddb40c4ec28f5c3bb33a3f77ea3e96464,8f9ee44e9b7697dd96aae389abb1604ddb40c4ec28f5c3bb33a3f77ea3e96464,163840,163840,20480,20.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_03-matrix-multiplication.ttadapter,2,0.099463,1,False,True,1,False,0,0,0,0,8f9ee44e9b7697dd96aae389abb1604ddb40c4ec28f5c3bb33a3f77ea3e96464,8f9ee44e9b7697dd96aae389abb1604ddb40c4ec28f5c3bb33a3f77ea3e96464,163840,163840,20480,20.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_04-low-memory-dropout.ttadapter,0,0.057094,1,False,False,0,False,0,0,0,0,,,65792,65792,8224,8.03125,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_04-low-memory-dropout.ttadapter,1,0.071509,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,65792,65792,8224,8.03125,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_04-low-memory-dropout.ttadapter,2,0.075346,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,65792,65792,8224,8.03125,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_05-layer-norm.ttadapter,0,0.135424,1,False,False,0,False,0,0,0,0,,,34304,34304,4288,4.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_05-layer-norm.ttadapter,1,0.163738,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,34304,34304,4288,4.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_05-layer-norm.ttadapter,2,0.168728,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,34304,34304,4288,4.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_06-fused-attention.ttadapter,0,0.202584,1,False,False,0,False,0,0,0,0,,,699392,699392,87424,85.375,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_06-fused-attention.ttadapter,1,0.246016,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,699392,699392,87424,85.375,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_06-fused-attention.ttadapter,2,0.220116,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,831488,831488,103936,101.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_07-extern-functions.ttadapter,0,0.1155,1,False,False,0,False,0,0,0,0,,,327680,327680,40960,40.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_07-extern-functions.ttadapter,1,0.109923,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,327680,327680,40960,40.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_07-extern-functions.ttadapter,2,0.115447,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,458752,458752,57344,56.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_08-grouped-gemm.ttadapter,0,0.107751,1,False,False,0,False,0,0,0,0,,,393216,393216,49152,48.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_08-grouped-gemm.ttadapter,1,0.12787,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,393216,393216,49152,48.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_08-grouped-gemm.ttadapter,2,0.138399,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,393216,393216,49152,48.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
ascend_tutorial_09-persistent-matmul.ttadapter,0,0.100731,-6,False,False,0,False,0,0,0,0,,,,,,,False,LLVM ERROR: unsupported op to get out operands
ascend_tutorial_09-persistent-matmul.ttadapter,1,0.084662,-6,False,False,0,False,0,0,0,0,,,,,,,False,LLVM ERROR: unsupported op to get out operands
ascend_tutorial_09-persistent-matmul.ttadapter,2,0.083675,-6,False,False,0,False,0,0,0,0,,,,,,,False,LLVM ERROR: unsupported op to get out operands
attn_cp_triton_kernel_3d.ttadapter,0,0.094056,1,False,False,0,False,0,0,0,0,,,245760,245760,30720,30.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
attn_cp_triton_kernel_3d.ttadapter,1,0.099385,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,245760,245760,30720,30.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
attn_cp_triton_kernel_3d.ttadapter,2,0.105756,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,294912,294912,36864,36.0,True,[ERROR] Failed to run BiShengIR regbase pipeline
attn_cp_triton_kernel_3d_la.ttadapter,0,0.07625,1,False,False,0,False,0,0,0,0,,,134144,134144,16768,16.375,True,[ERROR] Failed to run BiShengIR regbase pipeline
attn_cp_triton_kernel_3d_la.ttadapter,1,0.079844,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,134144,134144,16768,16.375,True,[ERROR] Failed to run BiShengIR regbase pipeline
attn_cp_triton_kernel_3d_la.ttadapter,2,0.084461,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,135168,135168,16896,16.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
attn_fwd.ttadapter,0,0.218777,1,False,False,0,False,0,0,0,0,,,1783040,1783040,222880,217.65625,True,[ERROR] Failed to run BiShengIR regbase pipeline
attn_fwd.ttadapter,1,0.275228,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,1783040,1783040,222880,217.65625,True,[ERROR] Failed to run BiShengIR regbase pipeline
attn_fwd.ttadapter,2,0.195252,-11,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,,,,,False,
chunk_kda_bwd_kernel_wy_dqkg_fused_opt_v2.ttadapter,0,0.812293,1,False,False,0,False,0,0,0,0,,,568832,568832,71104,69.4375,True,[ERROR] Failed to run BiShengIR regbase pipeline
chunk_kda_bwd_kernel_wy_dqkg_fused_opt_v2.ttadapter,1,1.013639,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,568832,568832,71104,69.4375,True,[ERROR] Failed to run BiShengIR regbase pipeline
chunk_kda_bwd_kernel_wy_dqkg_fused_opt_v2.ttadapter,2,0.683439,-10,False,False,0,False,0,0,0,0,,,,,,,False,
kernels_vllm__triton_rope.ttadapter,0,0.07409,1,False,False,0,False,0,0,0,0,,,50688,50688,6336,6.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm__triton_rope.ttadapter,1,0.081472,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,50688,50688,6336,6.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm__triton_rope.ttadapter,2,0.096292,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,50688,50688,6336,6.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_gated_delta_rule_fwd_kernel_h_blockdim64.ttadapter,0,0.2376,1,False,False,0,False,0,0,0,0,,,1709312,1709312,213664,208.65625,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_gated_delta_rule_fwd_kernel_h_blockdim64.ttadapter,1,0.294377,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,1840384,1840384,230048,224.65625,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_gated_delta_rule_fwd_kernel_h_blockdim64.ttadapter,2,0.312263,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,1709312,1709312,213664,208.65625,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_local_cumsum_scalar_kernel.ttadapter,0,0.056301,1,False,False,0,False,0,0,0,0,,,36864,36864,4608,4.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_local_cumsum_scalar_kernel.ttadapter,1,0.071113,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,36864,36864,4608,4.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_local_cumsum_scalar_kernel.ttadapter,2,0.0733,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,36864,36864,4608,4.5,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_scaled_dot_kkt_fwd_kernel.ttadapter,0,0.09317,1,False,False,0,False,0,0,0,0,,,13056,13056,1632,1.59375,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_scaled_dot_kkt_fwd_kernel.ttadapter,1,0.112362,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,13056,13056,1632,1.59375,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_chunk_scaled_dot_kkt_fwd_kernel.ttadapter,2,0.108673,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,13056,13056,1632,1.59375,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_expand_kernel.ttadapter,0,0.083334,1,False,False,0,False,0,0,0,0,,,1536,1536,192,0.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_expand_kernel.ttadapter,1,0.089443,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,1536,1536,192,0.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_expand_kernel.ttadapter,2,0.083941,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,1536,1536,192,0.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_fused_gdn_gating_kernel.ttadapter,0,0.075582,1,False,False,0,False,0,0,0,0,,,2560,2560,320,0.3125,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_fused_gdn_gating_kernel.ttadapter,1,0.0756,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,2560,2560,320,0.3125,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_fused_gdn_gating_kernel.ttadapter,2,0.092263,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,2560,2560,320,0.3125,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_fused_qkvzba_split_reshape_cat_kernel.ttadapter,0,0.053609,1,False,False,0,False,0,0,0,0,,,4608,4608,576,0.5625,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_fused_qkvzba_split_reshape_cat_kernel.ttadapter,1,0.050792,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,4608,4608,576,0.5625,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_fused_qkvzba_split_reshape_cat_kernel.ttadapter,2,0.051097,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,4608,4608,576,0.5625,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_l2norm_fwd_kernel2_loop.ttadapter,0,0.079782,1,False,False,0,False,0,0,0,0,,,49664,49664,6208,6.0625,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_l2norm_fwd_kernel2_loop.ttadapter,1,0.076885,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,49664,49664,6208,6.0625,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_l2norm_fwd_kernel2_loop.ttadapter,2,0.076679,-11,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,,,,,False,
kernels_vllm_layer_norm_fwd_kernel.ttadapter,0,0.145368,1,False,False,0,False,0,0,0,0,,,17920,17920,2240,2.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_layer_norm_fwd_kernel.ttadapter,1,0.13146,1,False,True,1,False,0,0,0,0,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,84ceab258f568ecb023a1b1ab60acb7a1c304b7bc0628f4eca92b063cb91d2d1,17920,17920,2240,2.1875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_layer_norm_fwd_kernel.ttadapter,2,0.134818,1,False,False,0,False,0,0,0,0,,,22016,22016,2752,2.6875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_merge_16x16_to_32x32_inverse_kernel.ttadapter,0,0.123703,1,False,False,0,False,0,0,0,0,,,40448,40448,5056,4.9375,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_merge_16x16_to_32x32_inverse_kernel.ttadapter,1,0.149687,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,40448,40448,5056,4.9375,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_merge_16x16_to_32x32_inverse_kernel.ttadapter,2,0.13028,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,40448,40448,5056,4.9375,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_merge_16x16_to_64x64_inverse_kernel.ttadapter,0,0.272386,1,False,False,0,False,0,0,0,0,,,366592,366592,45824,44.75,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_merge_16x16_to_64x64_inverse_kernel.ttadapter,1,0.317784,1,False,True,1,False,0,0,0,0,8f9ee44e9b7697dd96aae389abb1604ddb40c4ec28f5c3bb33a3f77ea3e96464,8f9ee44e9b7697dd96aae389abb1604ddb40c4ec28f5c3bb33a3f77ea3e96464,366592,366592,45824,44.75,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_merge_16x16_to_64x64_inverse_kernel.ttadapter,2,0.304052,1,False,True,1,False,0,0,0,0,8f9ee44e9b7697dd96aae389abb1604ddb40c4ec28f5c3bb33a3f77ea3e96464,8f9ee44e9b7697dd96aae389abb1604ddb40c4ec28f5c3bb33a3f77ea3e96464,366592,366592,45824,44.75,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_recompute_w_u_fwd_kernel.ttadapter,0,0.143986,1,False,False,0,False,0,0,0,0,,,113664,113664,14208,13.875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_recompute_w_u_fwd_kernel.ttadapter,1,0.183262,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,113664,113664,14208,13.875,True,[ERROR] Failed to run BiShengIR regbase pipeline
kernels_vllm_recompute_w_u_fwd_kernel.ttadapter,2,0.16744,1,False,True,1,False,0,0,0,0,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,75786cb3f9e2ec5e3f8b18a5b7a4f90726cf39ff74194108b8238f2414c914b5,113664,113664,14208,13.875,True,[ERROR] Failed to run BiShengIR regbase pipeline
