adapter,vf_merge_level,elapsed_s,returncode,timed_out,pass_observed,pass_attempts,affected,affected_attempts,changed_diff_lines_max,vector_functions_before_max,vector_functions_after_max,before_sha256,after_sha256,ub_reported_bits,ub_bits,ub_bytes,ub_kib,ub_line_observed,diagnostic
ascend_tutorial_01-vector-add.ttadapter,0,0.037195,1,False,False,0,False,0,0,0,0,,,32768,32768,4096,4.0,True,
ascend_tutorial_01-vector-add.ttadapter,1,0.060943,1,False,True,1,False,0,0,0,0,40fbbb5f98d37d00eb7503779081463032a57a40c8c7aea93d4e3fd7c7b88ae8,40fbbb5f98d37d00eb7503779081463032a57a40c8c7aea93d4e3fd7c7b88ae8,32768,32768,4096,4.0,True,
ascend_tutorial_01-vector-add.ttadapter,2,0.054546,1,False,True,1,False,0,0,0,0,40fbbb5f98d37d00eb7503779081463032a57a40c8c7aea93d4e3fd7c7b88ae8,40fbbb5f98d37d00eb7503779081463032a57a40c8c7aea93d4e3fd7c7b88ae8,32768,32768,4096,4.0,True,
ascend_tutorial_02-fused-softmax.ttadapter,0,0.04234,1,False,False,0,False,0,0,0,0,,,68096,68096,8512,8.3125,True,
ascend_tutorial_02-fused-softmax.ttadapter,1,0.043826,1,False,True,1,False,0,0,0,0,40fbbb5f98d37d00eb7503779081463032a57a40c8c7aea93d4e3fd7c7b88ae8,40fbbb5f98d37d00eb7503779081463032a57a40c8c7aea93d4e3fd7c7b88ae8,68096,68096,8512,8.3125,True,
ascend_tutorial_02-fused-softmax.ttadapter,2,0.045148,1,False,True,1,False,0,0,0,0,40fbbb5f98d37d00eb7503779081463032a57a40c8c7aea93d4e3fd7c7b88ae8,40fbbb5f98d37d00eb7503779081463032a57a40c8c7aea93d4e3fd7c7b88ae8,68096,68096,8512,8.3125,True,
ascend_tutorial_03-matrix-multiplication.ttadapter,0,0.06885,1,False,False,0,False,0,0,0,0,,,329728,329728,41216,40.25,True,
ascend_tutorial_03-matrix-multiplication.ttadapter,1,0.078959,1,False,True,1,False,0,0,0,0,6d8b0fc47acdd7235a35cd29cf1e745da3edd5efe000ac3855d63ea284b267e0,6d8b0fc47acdd7235a35cd29cf1e745da3edd5efe000ac3855d63ea284b267e0,329728,329728,41216,40.25,True,
ascend_tutorial_03-matrix-multiplication.ttadapter,2,0.068973,1,False,True,1,False,0,0,0,0,6d8b0fc47acdd7235a35cd29cf1e745da3edd5efe000ac3855d63ea284b267e0,6d8b0fc47acdd7235a35cd29cf1e745da3edd5efe000ac3855d63ea284b267e0,329728,329728,41216,40.25,True,
ascend_tutorial_04-low-memory-dropout.ttadapter,0,0.037633,1,False,False,0,False,0,0,0,0,,,98560,98560,12320,12.03125,True,
